SKU,Descripcion,Material,Precio_EUR,Alto,Diametro,Capacidad,foto
H.BIK.DF5,Double Face tumbler black,Acrílico,"8,47",11 cm,9 cm,,double-face-nero-1056.jpg
H.BIK.DF6,Double Face tumbler white,Acrílico,"8,47",11 cm,9 cm,,double-face-bianco-1052.jpg
H.BIK.DF7,Double Face tumbler blue/green,Acrílico,"8,47",11 cm,9 cm,,double-face-petrolio-1632.jpg
H.BIK.DF9,Double Face tumbler scarlet,Acrílico,"8,47",11 cm,9 cm,,double-face-scarlet-1631.jpg
H.BIK.DLV17,Dolce Vita water glass amber,Acrílico,"10,29","17,5 cm","9,5 cm",,dolce-vita-acqua-ambra-998.jpg
H.BIK.DLV25,Dolce Vita water glass white,Acrílico,"10,29","17,5 cm","9,5 cm",,dolce-vita-acqua-bianco-1277.jpg
H.BIK.DLV34,Dolce Vita water glass gold,Acrílico,"10,29","17,5 cm","9,5 cm",,dolce-vita-acqua-oro-2224.jpg
H.BIK.DLV23,Dolce Vita water glass red,Acrílico,"10,29","17,5 cm","9,5 cm",,dolce-vita-acqua-rosso-1001.jpg
H.BIK.DLV19,Dolce Vita water glass royal blue,Acrílico,"10,29","17,5 cm","9,5 cm",,dolce-vita-acqua-blu-999.jpg
H.BIK.DLV24,Dolce Vita water glass ruby,Acrílico,"10,29","17,5 cm","9,5 cm",,dolce-vita-acqua-rubino-1002.jpg
H.BIK.DLV40,Dolce Vita water glass clear gold thread,Acrílico,"12,50","17,5 cm","9,5 cm",,goldfingerdolcevita-acqua-2418.jpg
H.BIK.DLV20,Dolce Vita water glass clear,Acrílico,"10,29","17,5 cm","9,5 cm",,dolce-vita-acqua-trasparente-1003.jpg
H.BIK.DLV28,Dolce Vita water glass turquoise,Acrílico,"10,29","17,5 cm","9,5 cm",,dolce-vita-acqua-turchese-1327.jpg
H.BIK.DLV21,Dolce Vita water glass green,Acrílico,"10,29","17,5 cm","9,5 cm",,dolce-vita-acqua-verde-1004.jpg
H.BIK.DLV1,Dolce Vita wine glass amber,Acrílico,"10,29","16,5 cm",9 cm,,dolce-vita-vino-ambra-1006.jpg
H.BIK.DLV26,Dolce Vita wine glass white,Acrílico,"10,29","16,5 cm",9 cm,,dolce-vita-vino-bianco-1280.jpg
H.BIK.DLV32,Dolce Vita wine glass grey,Acrílico,"10,29","16,5 cm",9 cm,,dolce-vita-vino-grigio-1612.jpg
H.BIK.DLV35,Dolce Vita wine glass gold,Acrílico,"10,29","16,5 cm",9 cm,,dolce-vita-vino-oro-2225.jpg
H.BIK.DLV7,Dolce Vita wine glass red,Acrílico,"10,29","16,5 cm",9 cm,,dolce-vita-vino-rosso-1009.jpg
H.BIK.DLV3,Dolce Vita wine glass royal blue,Acrílico,"10,29","16,5 cm",9 cm,,dolce-vita-vino-blu-1007.jpg
H.BIK.DLV8,Dolce Vita wine glass ruby,Acrílico,"10,29","16,5 cm",9 cm,,dolce-vita-vino-rubino-1010.jpg
H.BIK.DLV41,Dolce Vita wine glass clear gold thread,Acrílico,"11,50","16,5 cm",9 cm,,goldfingerdolcevita-vino-2419.jpg
H.BIK.DLV4,Dolce Vita wine glass clear,Acrílico,"10,29","16,5 cm",9 cm,,dolce-vita-vino-trasparente-1011.jpg
H.BIK.DLV29,Dolce Vita wine glass turquoise,Acrílico,"10,29","16,5 cm",9 cm,,dolce-vita-vino-turchese-1329.jpg
H.BIK.DLV5,Dolce Vita wine glass green,Acrílico,"10,29","16,5 cm",9 cm,,dolce-vita-vino-verde-1012.jpg
H.BIK.DLV9,Dolce Vita flute champagne amber,Acrílico,"10,29",21 cm,"6,5 cm",,dolce-vita-fl\303\273te-ambra-1014.jpg
H.BIK.DLV27,Dolce Vita flute champagne white,Acrílico,"10,29",21 cm,"6,5 cm",,dolce-vita-fl\303\273te-bianco-1278.jpg
H.BIK.DLV33,Dolce Vira flute champagne grey,Acrílico,"10,29",21 cm,"6,5 cm",,dolce-vita-fl\303\273te-grigio-1613.jpg
H.BIK.DLV10,Dolce Vita flute champagne black,Acrílico,"10,29",21 cm,"6,5 cm",,dolce-vita-fl\303\273te-nero-1016.jpg
